config_id,association_valency,association_constant,association_lifetime,acetylation_level,rg,msd_alpha,pair_msd_alpha
192,1,23.52910642410636,8.096886114474593,0.445,8.047805786132812,0.6556528583435979,0.6594451002331853
198,1,13.233636963125235,3.3486820331702596,0.005,7.363241195678711,0.6573893176437012,0.6608021749920197
194,7,59.2540595615737,1.9874510377023995,0.995,9.118478775024414,0.6526633189682253,0.6569659156068455
203,1,2.867173919140326,1.5778277501178268,0.98,10.184039115905762,0.6541475933944504,0.6576851373847412
189,10,6.457538559549329,0.17941718336579426,0.05,2.6320817470550537,0.5257589168935372,0.5291505741615812
201,9,96.24186272551779,8.16251511351836,0.815,5.581989288330078,0.6123888444237189,0.6191681663777104
191,10,1.7201520346905694,0.7240545284396609,0.0,2.7690587043762207,0.44734515996135443,0.44176169114267694
190,9,45.69121591926797,1.0882016710438174,0.01,2.6436314582824707,0.37928502581526113,0.38208822721386854
193,9,3.1746677038500724,4.895148084442094,0.175,2.9110403060913086,0.4440156378235705,0.45286348763945944
197,9,32.86025224453613,7.289788857294196,0.41,2.912003755569458,0.4431004594564213,0.4497287641269453
195,10,24.53949788471337,0.7775809584570256,0.035,2.604153633117676,0.3851521679604406,0.38159325836653213
209,1,10.104805568348397,3.970653566227561,0.275,11.130610466003418,0.6566797053475819,0.6610649389872169
199,7,6.786809317620728,0.4202021626442526,0.095,2.8836686611175537,0.4963201272727524,0.4984688540151673
207,3,1.441955416919986,0.37863990774760614,0.295,6.4801025390625,0.647912123708494,0.6519859833586166
200,7,35.5860033722327,0.5369231463865967,0.055,2.8161697387695312,0.4531840922591149,0.4562448659475088
208,3,1.118920607009048,0.17343171915946776,0.16,7.1648101806640625,0.6589949300711383,0.6644733114940077
202,8,5.1371755686929985,0.10207454917806727,0.02,2.7582406997680664,0.5967549482832954,0.5996107374807801
206,5,15.507187262033682,5.695594131170189,0.585,5.3794050216674805,0.6214777311755304,0.6267991951428393
204,5,35.135282149523,7.511012617123243,0.095,4.518761157989502,0.5900629430823376,0.5949358450242489
205,8,7.504736911390337,0.7740858181227306,0.02,2.767939567565918,0.43693594479825715,0.43980099050022053
18,3,1.1925798352438555,0.15620839610498408,0.745,8.3493070602417,0.6650516730166858,0.6714252320823099
196,8,10.94191246870541,8.246013322088777,0.775,6.299717426300049,0.6323575300823588,0.6379613543483559
1,8,65.47563429124835,1.6141904576203923,0.005,2.7204558849334717,0.3884711784001306,0.3976938627624412
19,10,4.7527629322532166,0.4664161503121846,0.025,2.6483592987060547,0.4413396588635442,0.4402512747678093
213,5,30.461010399493134,0.9181823023476922,0.01,3.1905150413513184,0.5121429647371708,0.5171209296797238
211,8,27.809206175462585,7.070775532517524,0.35,2.9785335063934326,0.4651062901389665,0.46778143238872416
210,7,32.924640233201984,0.15661212795332718,0.125,2.8594231605529785,0.5435411159537005,0.550173565577975
212,6,34.69135184843152,0.7269780130346256,0.1,3.0364251136779785,0.4889812080881342,0.4918163423247421
20,5,50.259527111658976,8.350092602783665,0.715,7.935701847076416,0.6458097683058219,0.6514690124340565
214,8,3.6944165483763483,0.6051560414465945,0.255,2.9737203121185303,0.48859980282239335,0.49047917664647184
215,1,26.9278455363745,0.3369363960935041,0.79,9.13247299194336,0.6555630010534315,0.6603356838533748
216,5,27.869616214623345,0.1529142140547559,0.605,3.9100239276885986,0.6158157313715135,0.6189510498582027
219,1,16.530206077129264,0.27975153640135175,0.01,10.405132293701172,0.6591615849429081,0.6647767829291739
218,5,21.07984335427497,0.4769861690159258,0.01,3.215360164642334,0.5259986842740377,0.5309138055136132
221,2,6.044846233180763,4.290069628891349,0.055,8.746223449707031,0.6546376570663559,0.6585392605164108
217,6,21.040010162212777,0.4005699954546843,0.01,2.9578635692596436,0.50008717533342,0.5048761760255999
224,9,9.210598015466815,0.13808899554741774,0.985,8.992923736572266,0.6635161230968752,0.6676198991576656
223,2,48.89598817351675,2.4344771508255634,0.075,12.078378677368164,0.6520623781946462,0.6579412056940687
228,2,1.225490515696718,6.497136330199984,0.18,10.266387939453125,0.656261608502593,0.6604062055059867
230,2,33.602891110896856,0.9317645879720888,0.0,10.68839168548584,0.6483637071562556,0.6526240500015555
220,6,2.5935242337041875,3.299827005830784,0.005,3.451101779937744,0.5262593336421553,0.5324312978158129
222,7,18.26673306435655,4.801300567681275,0.025,2.875389575958252,0.4336965289912529,0.44212996807550636
229,5,17.443156546745946,1.0390004503063552,0.29,3.559074878692627,0.5508465403767366,0.5545748442043195
225,10,12.393399512528074,1.4575254482723907,0.4,2.8628926277160645,0.43681080947100015,0.43975458949520585
227,7,30.220656716020358,0.2520732145923203,0.215,2.9404706954956055,0.5138932716202314,0.5171265322678341
226,10,12.977438728639433,3.2319535775299433,0.035,2.633840560913086,0.3602222586674111,0.3682156422242637
231,9,1.2351552868950897,3.7263859474184575,0.085,3.1924705505371094,0.4918272827635873,0.49835480638814206
232,9,53.03796176085558,4.624047246621764,0.55,3.3427531719207764,0.4954149741926631,0.4938938117017695
235,9,1.4663557273479593,0.20459729861910342,0.89,8.348501205444336,0.6589799730430016,0.6625148818154493
233,10,6.743218977507682,0.34451512677289464,0.3,2.762192487716675,0.475768815989157,0.479748107597844
237,2,29.986029911333862,0.510327936847154,0.11,6.852245330810547,0.647733399127147,0.6522490696014513
234,7,29.376522385669965,1.5802809747126405,0.0,2.820218801498413,0.42579758755709796,0.4296655236862192
238,3,5.3606592575411485,0.3134313685592133,0.01,6.762678623199463,0.6395164017428694,0.6454120081675749
21,6,70.70159111542084,8.431343043601325,0.025,3.0702757835388184,0.489166999326079,0.49304881720307614
239,1,3.1104898388334115,0.8457741290242828,0.145,8.144806861877441,0.6561625513064082,0.66106971840292
